URL,Status
http://www.nytimes.com/,301
https://www.nytimes.com/,200
https://www.nytimes.com/wirecutter/reviews/halloween-board-games/,200
https://www.nytimes.com/wirecutter/reviews/best-pill-boxes/,200
https://www.nytimes.com/wirecutter/reviews/most-moving-hacks-online-are-terrible/,200
https://www.nytimes.com/wirecutter/reviews/board-games-for-adults/,200
https://www.nytimes.com/wirecutter/reviews/free-video-games/,200
https://www.nytimes.com/wirecutter/reviews/best-flannel-sheets/,200
https://www.nytimes.com/ca/,200
https://www.nytimes.com/wirecutter/electronics/,200
https://www.nytimes.com/wirecutter/home-garden/,200
https://www.nytimes.com/wirecutter/reviews/best-pressure-washer/,200
https://www.nytimes.com/wirecutter/gifts/,200
https://www.nytimes.com/es/,200
https://www.nytimes.com/wirecutter/deals/,200
https://www.nytimes.com/wirecutter/sleep/,200
https://www.nytimes.com/wirecutter/reviews/best-air-purifier/,200
https://www.nytimes.com/wirecutter/appliances/,200
https://www.nytimes.com/wirecutter/make-a-plan/moving/,200
https://www.nytimes.com/wirecutter/kitchen-dining/,200
https://www.nytimes.com/wirecutter/travel/,200
https://www.nytimes.com/international/,200
https://www.nytimes.com/wirecutter/reviews/best-office-chair/,200
https://www.nytimes.com/sitemap/,200
https://www.nytimes.com/wirecutter/reviews/best-electric-toothbrush/,200
https://www.nytimes.com/wirecutter/reviews/best-cordless-stick-vacuum/,200
https://www.nytimes.com/wirecutter/baby-kid/,200
https://www.nytimes.com/wirecutter/reviews/best-robot-vacuum/,200
https://www.nytimes.com/wirecutter/health-fitness/,200
https://www.nytimes.com/crosswords/game/daily/,200
